1   55.5   69.5
2   41.0   81.5
3   53.5   86.0
4   46.0   84.0
5   41.0   73.5
6   51.5   69.0
7   51.0   62.5
8   42.0   75.0
9   53.5   83.0
10  57.5   71.0
11  42.5   72.5
12  41.0   80.0
13  46.0   82.0
14  46.0   60.5
15  49.5   76.0
16  41.0   76.0
17  48.5   72.5
18  51.5   82.5
19  44.5   70.5
20  44.0   66.0
21  33.0   76.5
22  33.5   78.5
23  31.5   72.0
24  33.0   81.5
25  42.0   59.5
26  30.0   64.0
27  61.0   45.0
28  49.0   79.0
29  26.5   64.5
30  34.0   71.5
31  42.0   83.5
32  29.5   74.5
33  39.5   70.0
34  51.5   66.0
35  41.5   71.5
36  42.5   79.5
37  35.0   59.5
38  38.5   73.5
39  32.0   81.5
40  46.0   60.5
