1  36.5   53.0
2  36.5   53.5
3  24.0   60.5
4  19.0   57.5
5  34.5   60.0
6  37.5   64.5
7  35.5   51.0
8  37.0   50.5
9  21.5   42.0
10  35.5   58.5
11  26.5   68.5
12  26.5   55.5
13  18.5   67.0
14  40.0   67.0
15  32.5   71.5
16  39.0   71.5
17  43.0   55.5
18  22.0   54.0
19  36.0   62.5
20  31.0   55.5
21  38.5   76.0
22  40.0   75.0
23  37.5   63.0
24  24.5   58.0
25  30.0   67.0
26  33.0   56.0
27  56.5   61.0
28  41.0   57.0
29  49.5   63.0
30  34.5   72.5
31  32.5   69.0
32  36.0   73.0
33  27.0   53.5
34  41.0   63.5
35  29.5   52.5
36  20.0   65.5
37  38.0   65.0
38  18.5   74.5
39  16.0   72.5
40  33.5   68.0
